state,load_value,time
UTTAR-PRADESH,21236,1713018472.7692668
CHANDIGARH,217,1713019307.2638814
HARYANA,7202,1713019307.2638814
HIMACHAL,1255,1713019307.2638814
J & K,2345,1713019307.2638814
PUNJAB,6155,1713019307.2638814
RAJASTHAN,9812,1713019307.2638814
UTTARAKHAND,1782,1713019307.2638814
UTTAR-PRADESH,21067,1713019307.2638814
CHANDIGARH,214,1713020238.7871711
HARYANA,7310,1713020238.7871711
HIMACHAL,1295,1713020238.7871711
J & K,2242,1713020238.7871711
PUNJAB,6040,1713020238.7871711
RAJASTHAN,9834,1713020238.7871711
UTTARAKHAND,1795,1713020238.7871711
UTTAR-PRADESH,21061,1713020238.7871711
CHANDIGARH,210,1713021107.6878572
HARYANA,7383,1713021107.6878572
HIMACHAL,1270,1713021107.6878572
J & K,2353,1713021107.6878572
PUNJAB,6038,1713021107.6878572
RAJASTHAN,9676,1713021107.6878572
UTTARAKHAND,1792,1713021107.6878572
UTTAR-PRADESH,21284,1713021107.6878572
CHANDIGARH,205,1713022043.0292404
HARYANA,7412,1713022043.0292404
HIMACHAL,1240,1713022043.0292404
J & K,2345,1713022043.0292404
PUNJAB,5974,1713022043.0292404
RAJASTHAN,9662,1713022043.0292404
UTTARAKHAND,1769,1713022043.0292404
UTTAR-PRADESH,21103,1713022043.0292404
CHANDIGARH,194,1713022907.7401855
HARYANA,7268,1713022907.7401855
HIMACHAL,1214,1713022907.7401855
J & K,2361,1713022907.7401855
PUNJAB,5923,1713022907.7401855
RAJASTHAN,9605,1713022907.7401855
UTTARAKHAND,1843,1713022907.7401855
UTTAR-PRADESH,21105,1713022907.7401855
CHANDIGARH,192,1713023807.533452
HARYANA,7350,1713023807.533452
HIMACHAL,1240,1713023807.533452
J & K,2281,1713023807.533452
PUNJAB,5822,1713023807.533452
RAJASTHAN,9496,1713023807.533452
UTTARAKHAND,1855,1713023807.533452
UTTAR-PRADESH,21204,1713023807.533452
CHANDIGARH,189,1713024707.1390917
HARYANA,7332,1713024707.1390917
HIMACHAL,1211,1713024707.1390917
J & K,2375,1713024707.1390917
PUNJAB,5699,1713024707.1390917
RAJASTHAN,9387,1713024707.1390917
UTTARAKHAND,1759,1713024707.1390917
UTTAR-PRADESH,21298,1713024707.1390917
CHANDIGARH,188,1713025638.9002962
HARYANA,7249,1713025638.9002962
HIMACHAL,1193,1713025638.9002962
J & K,2274,1713025638.9002962
PUNJAB,5621,1713025638.9002962
RAJASTHAN,9527,1713025638.9002962
UTTARAKHAND,1743,1713025638.9002962
UTTAR-PRADESH,21207,1713025638.9002962
CHANDIGARH,184,1713026508.0005932
HARYANA,7227,1713026508.0005932
HIMACHAL,1170,1713026508.0005932
J & K,2289,1713026508.0005932
PUNJAB,5577,1713026508.0005932
RAJASTHAN,9440,1713026508.0005932
UTTARAKHAND,1651,1713026508.0005932
UTTAR-PRADESH,21149,1713026508.0005932
CHANDIGARH,183,1713027438.9395723
HARYANA,7246,1713027438.9395723
HIMACHAL,1130,1713027438.9395723
J & K,2251,1713027438.9395723
PUNJAB,5556,1713027438.9395723
RAJASTHAN,9701,1713027438.9395723
UTTARAKHAND,1763,1713027438.9395723
UTTAR-PRADESH,21129,1713027438.9395723
CHANDIGARH,180,1713028307.8377905
HARYANA,7123,1713028307.8377905
HIMACHAL,1090,1713028307.8377905
J & K,2247,1713028307.8377905
PUNJAB,5494,1713028307.8377905
RAJASTHAN,9675,1713028307.8377905
UTTARAKHAND,1747,1713028307.8377905
UTTAR-PRADESH,21031,1713028307.8377905
CHANDIGARH,178,1713029238.9570782
HARYANA,6985,1713029238.9570782
HIMACHAL,1048,1713029238.9570782
J & K,2152,1713029238.9570782
PUNJAB,5461,1713029238.9570782
RAJASTHAN,9558,1713029238.9570782
UTTARAKHAND,1781,1713029238.9570782
UTTAR-PRADESH,20799,1713029238.9570782
CHANDIGARH,175,1713030107.6608047
HARYANA,7002,1713030107.6608047
HIMACHAL,1081,1713030107.6608047
J & K,2231,1713030107.6608047
PUNJAB,5438,1713030107.6608047
RAJASTHAN,9225,1713030107.6608047
UTTARAKHAND,1714,1713030107.6608047
UTTAR-PRADESH,20750,1713030107.6608047
CHANDIGARH,169,1713031008.061465
HARYANA,6869,1713031008.061465
HIMACHAL,1054,1713031008.061465
J & K,2028,1713031008.061465
PUNJAB,5421,1713031008.061465
RAJASTHAN,9360,1713031008.061465
UTTARAKHAND,1710,1713031008.061465
UTTAR-PRADESH,20616,1713031008.061465
CHANDIGARH,167,1713031938.5986297
HARYANA,6788,1713031938.5986297
HIMACHAL,1037,1713031938.5986297
J & K,1960,1713031938.5986297
PUNJAB,5376,1713031938.5986297
RAJASTHAN,9313,1713031938.5986297
UTTARAKHAND,1682,1713031938.5986297
UTTAR-PRADESH,20449,1713031938.5986297
CHANDIGARH,166,1713032807.5070326
HARYANA,6683,1713032807.5070326
HIMACHAL,1025,1713032807.5070326
J & K,1898,1713032807.5070326
PUNJAB,5339,1713032807.5070326
RAJASTHAN,9267,1713032807.5070326
UTTARAKHAND,1625,1713032807.5070326
UTTAR-PRADESH,20216,1713032807.5070326
CHANDIGARH,162,1713033707.7031698
HARYANA,6595,1713033707.7031698
HIMACHAL,1012,1713033707.7031698
J & K,1910,1713033707.7031698
PUNJAB,5251,1713033707.7031698
RAJASTHAN,9179,1713033707.7031698
UTTARAKHAND,1582,1713033707.7031698
UTTAR-PRADESH,19965,1713033707.7031698
CHANDIGARH,162,1713034607.307662
HARYANA,6599,1713034607.307662
HIMACHAL,997,1713034607.307662
J & K,1854,1713034607.307662
PUNJAB,5254,1713034607.307662
RAJASTHAN,9192,1713034607.307662
UTTARAKHAND,1549,1713034607.307662
UTTAR-PRADESH,19776,1713034607.307662
CHANDIGARH,161,1713035507.2066498
HARYANA,6582,1713035507.2066498
HIMACHAL,1032,1713035507.2066498
J & K,1728,1713035507.2066498
PUNJAB,5221,1713035507.2066498
RAJASTHAN,9163,1713035507.2066498
UTTARAKHAND,1599,1713035507.2066498
UTTAR-PRADESH,19678,1713035507.2066498
CHANDIGARH,159,1713036407.5971477
HARYANA,6510,1713036407.5971477
HIMACHAL,1041,1713036407.5971477
J & K,1711,1713036407.5971477
PUNJAB,5196,1713036407.5971477
RAJASTHAN,9177,1713036407.5971477
UTTARAKHAND,1575,1713036407.5971477
UTTAR-PRADESH,19589,1713036407.5971477
CHANDIGARH,157,1713037352.5324116
HARYANA,6427,1713037352.5324116
HIMACHAL,1032,1713037352.5324116
J & K,1673,1713037352.5324116
PUNJAB,5191,1713037352.5324116
RAJASTHAN,9072,1713037352.5324116
UTTARAKHAND,1563,1713037352.5324116
UTTAR-PRADESH,19249,1713037352.5324116
CHANDIGARH,155,1713038207.6351078
HARYANA,6388,1713038207.6351078
HIMACHAL,1026,1713038207.6351078
J & K,1627,1713038207.6351078
PUNJAB,5208,1713038207.6351078
RAJASTHAN,9083,1713038207.6351078
